angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[94, 163, 233, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 163, 233, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[94, 164, 233, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 298]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 164, 235, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 236, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 234, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 166, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 237, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 166, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 164, 236, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 236, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 235, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 168, 235, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 236, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 292]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 168, 233, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 167, 234, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[93, 168, 232, 293]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 237, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[89, 166, 239, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 166, 241, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 241, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 165, 241, 300]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[92, 166, 240, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 165, 240, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 167, 239, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 239, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 168, 238, 296]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[91, 167, 239, 297]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 241, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[90, 166, 241, 295]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[89, 164, 242, 299]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[88, 166, 240, 294]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[87, 166, 240, 299]",0.0,0.0,1.0,0.0,0.0,0.0
